p.č.;kód obce;názov obce;kód okresu;názov okresu;kód kraja;názov kraja
1;528595;  Bratislava - Staré Mesto;101;Bratislava I;100;Bratislavský
2;529311;  Bratislava - Podunajské Biskupice;102;Bratislava II;100;Bratislavský
3;529320;  Bratislava - Ružinov;102;Bratislava II;100;Bratislavský
4;529338;  Bratislava - Vrakuňa;102;Bratislava II;100;Bratislavský
5;529346;  Bratislava - Nové Mesto;103;Bratislava III;100;Bratislavský
6;529354;  Bratislava - Rača;103;Bratislava III;100;Bratislavský
7;529362;  Bratislava - Vajnory;103;Bratislava III;100;Bratislavský
8;529401;  Bratislava - Devín;104;Bratislava IV;100;Bratislavský
9;529371;  Bratislava - Devínska Nová Ves;104;Bratislava IV;100;Bratislavský
10;529389;  Bratislava - Dúbravka;104;Bratislava IV;100;Bratislavský
11;529397;  Bratislava - Karlova Ves;104;Bratislava IV;100;Bratislavský
12;529419;  Bratislava - Lamač;104;Bratislava IV;100;Bratislavský
13;529427;  Bratislava - Záhorská Bystrica;104;Bratislava IV;100;Bratislavský
14;529435;  Bratislava - Čunovo;105;Bratislava V;100;Bratislavský
15;529443;  Bratislava - Jarovce;105;Bratislava V;100;Bratislavský
16;529460;  Bratislava - Petržalka;105;Bratislava V;100;Bratislavský
17;529494;  Bratislava - Rusovce;105;Bratislava V;100;Bratislavský
18;507831;  Borinka;106;Malacky;100;Bratislavský
19;507890;  Gajary;106;Malacky;100;Bratislavský
20;507954;  Jablonové;106;Malacky;100;Bratislavský
21;507962;  Jakubov;106;Malacky;100;Bratislavský
22;508012;  Kostolište;106;Malacky;100;Bratislavský
23;508021;  Kuchyňa;106;Malacky;100;Bratislavský
24;508039;  Láb;106;Malacky;100;Bratislavský
25;508055;  Lozorno;106;Malacky;100;Bratislavský
26;508063;  Malacky;106;Malacky;100;Bratislavský
27;504556;  Malé Leváre;106;Malacky;100;Bratislavský
28;508080;  Marianka;106;Malacky;100;Bratislavský
29;508161;  Pernek;106;Malacky;100;Bratislavský
30;504629;  Plavecké Podhradie;106;Malacky;100;Bratislavský
31;504637;  Plavecký Mikuláš;106;Malacky;100;Bratislavský
32;508195;  Plavecký Štvrtok;106;Malacky;100;Bratislavský
33;504769;  Rohožník;106;Malacky;100;Bratislavský
34;504858;  Sološnica;106;Malacky;100;Bratislavský
35;504874;  Studienka;106;Malacky;100;Bratislavský
36;508233;  Stupava;106;Malacky;100;Bratislavský
37;508241;  Suchohrad;106;Malacky;100;Bratislavský
38;504947;  Veľké Leváre;106;Malacky;100;Bratislavský
39;508349;  Vysoká pri Morave;106;Malacky;100;Bratislavský
40;500267;  Záhorie (vojenský obvod);106;Malacky;100;Bratislavský
41;508365;  Záhorská Ves;106;Malacky;100;Bratislavský
42;504980;  Závod;106;Malacky;100;Bratislavský
43;508381;  Zohor;106;Malacky;100;Bratislavský
44;507806;  Báhoň;107;Pezinok;100;Bratislavský
45;507849;  Budmerice;107;Pezinok;100;Bratislavský
46;507857;  Častá;107;Pezinok;100;Bratislavský
47;507873;  Doľany;107;Pezinok;100;Bratislavský
48;507881;  Dubová;107;Pezinok;100;Bratislavský
49;507946;  Jablonec;107;Pezinok;100;Bratislavský
50;508047;  Limbach;107;Pezinok;100;Bratislavský
51;508101;  Modra;107;Pezinok;100;Bratislavský
52;508179;  Pezinok;107;Pezinok;100;Bratislavský
53;508187;  Píla;107;Pezinok;100;Bratislavský
54;508225;  Slovenský Grob;107;Pezinok;100;Bratislavský
55;507989;  Svätý Jur;107;Pezinok;100;Bratislavský
56;508250;  Šenkvice;107;Pezinok;100;Bratislavský
57;508268;  Štefanová;107;Pezinok;100;Bratislavský
58;508306;  Viničné;107;Pezinok;100;Bratislavský
59;508314;  Vinosady;107;Pezinok;100;Bratislavský
60;508322;  Vištuk;107;Pezinok;100;Bratislavský
61;507814;  Bernolákovo;108;Senec;100;Bratislavský
62;507822;  Blatné;108;Senec;100;Bratislavský
63;503681;  Boldog;108;Senec;100;Bratislavský
64;507865;  Čataj;108;Senec;100;Bratislavský
65;545333;  Dunajská Lužná;108;Senec;100;Bratislavský
66;507903;  Hamuliakovo;108;Senec;100;Bratislavský
67;503797;  Hrubá Borša;108;Senec;100;Bratislavský
68;503801;  Hrubý Šúr;108;Senec;100;Bratislavský
69;503819;  Hurbanova Ves;108;Senec;100;Bratislavský
70;507911;  Chorvátsky Grob;108;Senec;100;Bratislavský
71;555487;  Igram;108;Senec;100;Bratislavský
72;507938;  Ivanka pri Dunaji;108;Senec;100;Bratislavský
73;507997;  Kalinkovo;108;Senec;100;Bratislavský
74;555495;  Kaplna;108;Senec;100;Bratislavský
75;503851;  Kostolná pri Dunaji;108;Senec;100;Bratislavský
76;503894;  Kráľová pri Senci;108;Senec;100;Bratislavský
77;508071;  Malinovo;108;Senec;100;Bratislavský
78;508098;  Miloslavov;108;Senec;100;Bratislavský
79;508110;  Most pri Bratislave;108;Senec;100;Bratislavský
80;508136;  Nová Dedinka;108;Senec;100;Bratislavský
81;582549;  Nový Svet;108;Senec;100;Bratislavský
82;503983;  Reca;108;Senec;100;Bratislavský
83;508209;  Rovinka;108;Senec;100;Bratislavský
84;508217;  Senec;108;Senec;100;Bratislavský
85;508276;  Tomášov;108;Senec;100;Bratislavský
86;508284;  Tureň;108;Senec;100;Bratislavský
87;508292;  Veľký Biel;108;Senec;100;Bratislavský
88;508331;  Vlky;108;Senec;100;Bratislavský
89;555509;  Zálesie;108;Senec;100;Bratislavský
