p.č.;kód obce;názov obce;kód okresu;názov okresu;kód kraja;názov kraja
1;526509;  Gelnica;801;Gelnica;800;Košický
2;526541;  Helcmanovce;801;Gelnica;800;Košický
3;526550;  Henclová;801;Gelnica;800;Košický
4;543144;  Hrišovce;801;Gelnica;800;Košický
5;543187;  Jaklovce;801;Gelnica;800;Košický
6;543233;  Kluknava;801;Gelnica;800;Košický
7;543241;  Kojšov;801;Gelnica;800;Košický
8;543322;  Margecany;801;Gelnica;800;Košický
9;543365;  Mníšek nad Hnilcom;801;Gelnica;800;Košický
10;543373;  Nálepkovo;801;Gelnica;800;Košický
11;543497;  Prakovce;801;Gelnica;800;Košický
12;543501;  Richnava;801;Gelnica;800;Košický
13;543551;  Smolnícka Huta;801;Gelnica;800;Košický
14;543560;  Smolník;801;Gelnica;800;Košický
15;543632;  Stará Voda;801;Gelnica;800;Košický
16;543659;  Švedlár;801;Gelnica;800;Košický
17;543683;  Úhorná;801;Gelnica;800;Košický
18;543705;  Veľký Folkmar;801;Gelnica;800;Košický
19;526631;  Závadka (Gelnica);801;Gelnica;800;Košický
20;526649;  Žakarovce;801;Gelnica;800;Košický
21;599891;  Košice - Džungľa;802;Košice I;800;Košický
22;598119;  Košice - Kavečany;802;Košice I;800;Košický
23;598151;  Košice - Sever;802;Košice I;800;Košický
24;599875;  Košice - Sídlisko Ťahanovce;802;Košice I;800;Košický
25;598186;  Košice - Staré Mesto;802;Košice I;800;Košický
26;598127;  Košice - Ťahanovce;802;Košice I;800;Košický
27;598194;  Košice - Lorinčík;803;Košice II;800;Košický
28;599972;  Košice - Luník IX;803;Košice II;800;Košický
29;598216;  Košice - Myslava;803;Košice II;800;Košický
30;598208;  Košice - Pereš;803;Košice II;800;Košický
31;599859;  Košice - Poľov;803;Košice II;800;Košický
32;599883;  Košice - Sídlisko KVP;803;Košice II;800;Košický
33;599841;  Košice - Šaca;803;Košice II;800;Košický
34;598224;  Košice - Západ;803;Košice II;800;Košický
35;598682;  Košice - Dargovských hrdinov;804;Košice III;800;Košický
36;599018;  Košice - Košická Nová Ves;804;Košice III;800;Košický
37;599093;  Košice - Barca;805;Košice IV;800;Košický
38;599824;  Košice - Juh;805;Košice IV;800;Košický
39;599794;  Košice - Krásna;805;Košice IV;800;Košický
40;599816;  Košice - Nad jazerom;805;Košice IV;800;Košický
41;599786;  Košice - Šebastovce;805;Košice IV;800;Košický
42;599913;  Košice - Vyšné Opátske;805;Košice IV;800;Košický
43;521141;  Bačkovík;806;Košice - okolie;800;Košický
44;521159;  Baška;806;Košice - okolie;800;Košický
45;521167;  Belža;806;Košice - okolie;800;Košický
46;521175;  Beniakovce;806;Košice - okolie;800;Košický
47;521183;  Bidovce;806;Košice - okolie;800;Košický
48;521191;  Blažice;806;Košice - okolie;800;Košický
49;559831;  Bočiar;806;Košice - okolie;800;Košický
50;521205;  Bohdanovce;806;Košice - okolie;800;Košický
51;521213;  Boliarov;806;Košice - okolie;800;Košický
52;521221;  Budimír;806;Košice - okolie;800;Košický
53;521248;  Bukovec;806;Košice - okolie;800;Košický
54;521256;  Bunetice;806;Košice - okolie;800;Košický
55;521264;  Buzica;806;Košice - okolie;800;Košický
56;521272;  Cestice;806;Košice - okolie;800;Košický
57;521281;  Čakanovce;806;Košice - okolie;800;Košický
58;521299;  Čaňa;806;Košice - okolie;800;Košický
59;521302;  Čečejovce;806;Košice - okolie;800;Košický
60;521311;  Čižatice;806;Košice - okolie;800;Košický
61;521329;  Debraď;806;Košice - okolie;800;Košický
62;521337;  Drienovec;806;Košice - okolie;800;Košický
63;521345;  Družstevná pri Hornáde;806;Košice - okolie;800;Košický
64;521353;  Ďurďošík;806;Košice - okolie;800;Košický
65;521361;  Ďurkov;806;Košice - okolie;800;Košický
66;559873;  Dvorníky-Včeláre;806;Košice - okolie;800;Košický
67;521370;  Geča;806;Košice - okolie;800;Košický
68;521388;  Gyňov;806;Košice - okolie;800;Košický
69;521396;  Hačava;806;Košice - okolie;800;Košický
70;518123;  Háj;806;Košice - okolie;800;Košický
71;521400;  Haniska;806;Košice - okolie;800;Košický
72;521418;  Herľany;806;Košice - okolie;800;Košický
73;521426;  Hodkovce;806;Košice - okolie;800;Košický
74;518107;  Hosťovce;806;Košice - okolie;800;Košický
75;521442;  Hrašovík;806;Košice - okolie;800;Košický
76;521469;  Hýľov;806;Košice - okolie;800;Košický
77;599310;  Chorváty;806;Košice - okolie;800;Košický
78;521477;  Chrastné;806;Košice - okolie;800;Košický
79;521485;  Janík;806;Košice - okolie;800;Košický
80;521493;  Jasov;806;Košice - okolie;800;Košický
81;521507;  Kalša;806;Košice - okolie;800;Košický
82;521523;  Kecerovce;806;Košice - okolie;800;Košický
83;521540;  Kecerovský Lipovec;806;Košice - okolie;800;Košický
84;559687;  Kechnec;806;Košice - okolie;800;Košický
85;521558;  Kokšov-Bakša;806;Košice - okolie;800;Košický
86;521566;  Komárovce;806;Košice - okolie;800;Košický
87;582514;  Kostoľany nad Hornádom;806;Košice - okolie;800;Košický
88;521574;  Košická Belá;806;Košice - okolie;800;Košický
89;521582;  Košická Polianka;806;Košice - okolie;800;Košický
90;521591;  Košické Oľšany;806;Košice - okolie;800;Košický
91;521604;  Košický Klečenov;806;Košice - okolie;800;Košický
92;521612;  Kráľovce;806;Košice - okolie;800;Košický
93;521639;  Kysak;806;Košice - okolie;800;Košický
94;521655;  Malá Ida;806;Košice - okolie;800;Košický
95;521663;  Malá Lodina;806;Košice - okolie;800;Košický
96;521671;  Medzev;806;Košice - okolie;800;Košický
97;580252;  Milhosť;806;Košice - okolie;800;Košický
98;521680;  Mokrance;806;Košice - okolie;800;Košický
99;521698;  Moldava nad Bodvou;806;Košice - okolie;800;Košický
100;521701;  Mudrovce;806;Košice - okolie;800;Košický
101;518140;  Nižná Hutka;806;Košice - okolie;800;Košický
102;521728;  Nižná Kamenica;806;Košice - okolie;800;Košický
103;521736;  Nižná Myšľa;806;Košice - okolie;800;Košický
104;521744;  Nižný Čaj;806;Košice - okolie;800;Košický
105;521752;  Nižný Klátov;806;Košice - okolie;800;Košický
106;521761;  Nižný Lánec;806;Košice - okolie;800;Košický
107;521795;  Nová Polhora;806;Košice - okolie;800;Košický
108;521787;  Nováčany;806;Košice - okolie;800;Košický
109;521809;  Nový Salaš;806;Košice - okolie;800;Košický
110;521817;  Obišovce;806;Košice - okolie;800;Košický
111;521825;  Olšovany;806;Košice - okolie;800;Košický
112;521833;  Opátka;806;Košice - okolie;800;Košický
113;521841;  Opiná;806;Košice - okolie;800;Košický
114;521850;  Paňovce;806;Košice - okolie;800;Košický
115;521868;  Peder;806;Košice - okolie;800;Košický
116;521876;  Perín-Chym;806;Košice - okolie;800;Košický
117;521884;  Ploské;806;Košice - okolie;800;Košický
118;521892;  Poproč;806;Košice - okolie;800;Košický
119;521906;  Rákoš;806;Košice - okolie;800;Košický
120;521914;  Rankovce;806;Košice - okolie;800;Košický
121;521922;  Rešica;806;Košice - okolie;800;Košický
122;521931;  Rozhanovce;806;Košice - okolie;800;Košický
123;521949;  Rudník;806;Košice - okolie;800;Košický
124;521957;  Ruskov;806;Košice - okolie;800;Košický
125;521965;  Sady nad Torysou;806;Košice - okolie;800;Košický
126;521973;  Seňa;806;Košice - okolie;800;Košický
127;521981;  Skároš;806;Košice - okolie;800;Košický
128;518115;  Slančík;806;Košice - okolie;800;Košický
129;522007;  Slanec;806;Košice - okolie;800;Košický
130;522015;  Slanská Huta;806;Košice - okolie;800;Košický
131;522023;  Slanské Nové Mesto;806;Košice - okolie;800;Košický
132;522031;  Sokoľ;806;Košice - okolie;800;Košický
133;559865;  Sokoľany;806;Košice - okolie;800;Košický
134;522040;  Svinica;806;Košice - okolie;800;Košický
135;522066;  Šemša;806;Košice - okolie;800;Košický
136;522074;  Štós;806;Košice - okolie;800;Košický
137;522082;  Trebejov;806;Košice - okolie;800;Košický
138;522091;  Trsťany;806;Košice - okolie;800;Košický
139;522104;  Trstené pri Hornáde;806;Košice - okolie;800;Košický
140;559784;  Turňa nad Bodvou;806;Košice - okolie;800;Košický
141;521779;  Turnianska Nová Ves;806;Košice - okolie;800;Košický
142;522121;  Vajkovce;806;Košice - okolie;800;Košický
143;522139;  Valaliky;806;Košice - okolie;800;Košický
144;522147;  Veľká Ida;806;Košice - okolie;800;Košický
145;522155;  Veľká Lodina;806;Košice - okolie;800;Košický
146;522163;  Vtáčkovce;806;Košice - okolie;800;Košický
147;522171;  Vyšná Hutka;806;Košice - okolie;800;Košický
148;522180;  Vyšná Kamenica;806;Košice - okolie;800;Košický
149;522198;  Vyšná Myšľa;806;Košice - okolie;800;Košický
150;522201;  Vyšný Čaj;806;Košice - okolie;800;Košický
151;522210;  Vyšný Klátov;806;Košice - okolie;800;Košický
152;582093;  Vyšný Medzev;806;Košice - okolie;800;Košický
153;559881;  Zádiel;806;Košice - okolie;800;Košický
154;522244;  Zlatá Idka;806;Košice - okolie;800;Košický
155;522252;  Žarnov;806;Košice - okolie;800;Košický
156;522261;  Ždaňa;806;Košice - okolie;800;Košický
157;522287;  Bajany;807;Michalovce;800;Košický
158;522295;  Bánovce nad Ondavou;807;Michalovce;800;Košický
159;528137;  Beša;807;Michalovce;800;Košický
160;522368;  Bracovce;807;Michalovce;800;Košický
161;513857;  Budince;807;Michalovce;800;Košický
162;522376;  Budkovce;807;Michalovce;800;Košický
163;522392;  Čečehov;807;Michalovce;800;Košický
164;528277;  Čičarovce;807;Michalovce;800;Košický
165;528307;  Čierne Pole;807;Michalovce;800;Košický
166;528331;  Drahňov;807;Michalovce;800;Košický
167;522406;  Dúbravka;807;Michalovce;800;Košický
168;522414;  Falkušovce;807;Michalovce;800;Košický
169;522431;  Hatalov;807;Michalovce;800;Košický
170;522449;  Hažín;807;Michalovce;800;Košický
171;522465;  Hnojné;807;Michalovce;800;Košický
172;522481;  Horovce;807;Michalovce;800;Košický
173;522511;  Iňačovce;807;Michalovce;800;Košický
174;528391;  Ižkovce;807;Michalovce;800;Košický
175;522546;  Jastrabie pri Michalovciach;807;Michalovce;800;Košický
176;522562;  Jovsa;807;Michalovce;800;Košický
177;522571;  Kačanov;807;Michalovce;800;Košický
178;522589;  Kaluža;807;Michalovce;800;Košický
179;528404;  Kapušianske Kľačany;807;Michalovce;800;Košický
180;522597;  Klokočov;807;Michalovce;800;Košický
181;522651;  Krásnovce;807;Michalovce;800;Košický
182;528463;  Krišovská Liesková;807;Michalovce;800;Košický
183;522686;  Kusín;807;Michalovce;800;Košický
184;522694;  Lastomír;807;Michalovce;800;Košický
185;522708;  Laškovce;807;Michalovce;800;Košický
186;522724;  Lesné;807;Michalovce;800;Košický
187;522732;  Ložín;807;Michalovce;800;Košický
188;522741;  Lúčky;807;Michalovce;800;Košický
189;522759;  Malčice;807;Michalovce;800;Košický
