p.č.;kód obce;názov obce;kód okresu;názov okresu;kód kraja;názov kraja
1;501034;  Bajč;401;Komárno;400;Nitriansky
2;501395;  Bátorove Kosihy;401;Komárno;400;Nitriansky
3;501042;  Bodza;401;Komárno;400;Nitriansky
4;555819;  Bodzianske Lúky;401;Komárno;400;Nitriansky
5;501069;  Brestovec;401;Komárno;400;Nitriansky
6;501077;  Búč;401;Komárno;400;Nitriansky
7;501085;  Čalovec;401;Komárno;400;Nitriansky
8;501093;  Číčov;401;Komárno;400;Nitriansky
9;501107;  Dedina Mládeže;401;Komárno;400;Nitriansky
10;501123;  Dulovce;401;Komárno;400;Nitriansky
11;580911;  Holiare;401;Komárno;400;Nitriansky
12;501140;  Hurbanovo;401;Komárno;400;Nitriansky
13;501158;  Chotín;401;Komárno;400;Nitriansky
14;501166;  Imeľ;401;Komárno;400;Nitriansky
15;501174;  Iža;401;Komárno;400;Nitriansky
16;501182;  Kameničná;401;Komárno;400;Nitriansky
17;501191;  Klížska Nemá;401;Komárno;400;Nitriansky
18;501204;  Kolárovo;401;Komárno;400;Nitriansky
19;501026;  Komárno;401;Komárno;400;Nitriansky
20;501212;  Kravany nad Dunajom;401;Komárno;400;Nitriansky
21;501221;  Lipové;401;Komárno;400;Nitriansky
22;501239;  Marcelová;401;Komárno;400;Nitriansky
23;501247;  Martovce;401;Komárno;400;Nitriansky
24;501255;  Moča;401;Komárno;400;Nitriansky
25;501263;  Modrany;401;Komárno;400;Nitriansky
26;501271;  Mudroňovo;401;Komárno;400;Nitriansky
27;501280;  Nesvady;401;Komárno;400;Nitriansky
28;501301;  Okoličná na Ostrove;401;Komárno;400;Nitriansky
29;501310;  Patince;401;Komárno;400;Nitriansky
30;501328;  Pribeta;401;Komárno;400;Nitriansky
31;501336;  Radvaň nad Dunajom;401;Komárno;400;Nitriansky
32;501344;  Sokolce;401;Komárno;400;Nitriansky
33;501115;  Svätý Peter;401;Komárno;400;Nitriansky
34;501352;  Šrobárová;401;Komárno;400;Nitriansky
35;501361;  Tôň;401;Komárno;400;Nitriansky
36;501379;  Trávnik;401;Komárno;400;Nitriansky
37;501387;  Veľké Kosihy;401;Komárno;400;Nitriansky
38;555827;  Virt;401;Komárno;400;Nitriansky
39;501409;  Vrbová nad Váhom;401;Komárno;400;Nitriansky
40;501417;  Zemianska Olča;401;Komárno;400;Nitriansky
41;501425;  Zlatná na Ostrove;401;Komárno;400;Nitriansky
42;502049;  Bajka;402;Levice;400;Nitriansky
43;502057;  Bátovce;402;Levice;400;Nitriansky
44;502065;  Beša;402;Levice;400;Nitriansky
45;502073;  Bielovce;402;Levice;400;Nitriansky
46;580937;  Bohunice;402;Levice;400;Nitriansky
47;502090;  Bory;402;Levice;400;Nitriansky
48;502103;  Brhlovce;402;Levice;400;Nitriansky
49;502111;  Čajkov;402;Levice;400;Nitriansky
50;502120;  Čaka;402;Levice;400;Nitriansky
51;555843;  Čata;402;Levice;400;Nitriansky
52;502154;  Demandice;402;Levice;400;Nitriansky
53;502162;  Devičany;402;Levice;400;Nitriansky
54;502171;  Dolná Seč;402;Levice;400;Nitriansky
55;502189;  Dolné Semerovce;402;Levice;400;Nitriansky
56;502197;  Dolný Pial;402;Levice;400;Nitriansky
