p.č.;kód obce;názov obce;kód okresu;názov okresu;kód kraja;názov kraja
1;519014;  Abrahámovce;701;Bardejov;700;Prešovský
2;519022;  Andrejová;701;Bardejov;700;Prešovský
3;519006;  Bardejov;701;Bardejov;700;Prešovský
4;519049;  Bartošovce;701;Bardejov;700;Prešovský
5;519057;  Becherov;701;Bardejov;700;Prešovský
6;519065;  Beloveža;701;Bardejov;700;Prešovský
7;519073;  Bogliarka;701;Bardejov;700;Prešovský
8;519081;  Brezov;701;Bardejov;700;Prešovský
9;519090;  Brezovka;701;Bardejov;700;Prešovský
10;519103;  Buclovany;701;Bardejov;700;Prešovský
11;519111;  Cigeľka;701;Bardejov;700;Prešovský
12;519138;  Dubinné;701;Bardejov;700;Prešovský
13;519154;  Frička;701;Bardejov;700;Prešovský
14;519162;  Fričkovce;701;Bardejov;700;Prešovský
15;519171;  Gaboltov;701;Bardejov;700;Prešovský
16;519189;  Gerlachov;701;Bardejov;700;Prešovský
17;519201;  Hankovce;701;Bardejov;700;Prešovský
18;519219;  Harhaj;701;Bardejov;700;Prešovský
19;519227;  Hažlín;701;Bardejov;700;Prešovský
20;519235;  Hertník;701;Bardejov;700;Prešovský
21;519243;  Hervartov;701;Bardejov;700;Prešovský
22;519251;  Hrabovec;701;Bardejov;700;Prešovský
23;519260;  Hrabské;701;Bardejov;700;Prešovský
24;519278;  Hutka;701;Bardejov;700;Prešovský
25;519286;  Chmeľová;701;Bardejov;700;Prešovský
26;519294;  Janovce;701;Bardejov;700;Prešovský
27;519308;  Jedlinka;701;Bardejov;700;Prešovský
28;519324;  Kľušov;701;Bardejov;700;Prešovský
29;519341;  Kobyly;701;Bardejov;700;Prešovský
30;519359;  Kochanovce;701;Bardejov;700;Prešovský
31;519367;  Komárov;701;Bardejov;700;Prešovský
32;519375;  Koprivnica;701;Bardejov;700;Prešovský
33;519383;  Kožany;701;Bardejov;700;Prešovský
34;519405;  Krivé;701;Bardejov;700;Prešovský
35;519413;  Kríže;701;Bardejov;700;Prešovský
36;519421;  Kružlov;701;Bardejov;700;Prešovský
37;519430;  Kučín;701;Bardejov;700;Prešovský
38;519456;  Kurima;701;Bardejov;700;Prešovský
39;519464;  Kurov;701;Bardejov;700;Prešovský
40;519472;  Lascov;701;Bardejov;700;Prešovský
41;519481;  Lenartov;701;Bardejov;700;Prešovský
42;519499;  Lipová;701;Bardejov;700;Prešovský
43;519502;  Livov;701;Bardejov;700;Prešovský
44;519511;  Livovská Huta;701;Bardejov;700;Prešovský
45;519529;  Lopúchov;701;Bardejov;700;Prešovský
46;519545;  Lukavica;701;Bardejov;700;Prešovský
47;519553;  Lukov;701;Bardejov;700;Prešovský
48;519570;  Malcov;701;Bardejov;700;Prešovský
49;519588;  Marhaň;701;Bardejov;700;Prešovský
50;519600;  Mikulášová;701;Bardejov;700;Prešovský
51;519618;  Mokroluh;701;Bardejov;700;Prešovský
52;519626;  Nemcovce;701;Bardejov;700;Prešovský
53;519634;  Nižná Polianka;701;Bardejov;700;Prešovský
54;519642;  Nižná Voľa;701;Bardejov;700;Prešovský
55;519669;  Nižný Tvarožec;701;Bardejov;700;Prešovský
56;519677;  Oľšavce;701;Bardejov;700;Prešovský
57;519685;  Ondavka;701;Bardejov;700;Prešovský
58;519693;  Ortuťová;701;Bardejov;700;Prešovský
59;519707;  Osikov;701;Bardejov;700;Prešovský
60;519715;  Petrová;701;Bardejov;700;Prešovský
61;519723;  Poliakovce;701;Bardejov;700;Prešovský
62;519731;  Porúbka;701;Bardejov;700;Prešovský
63;519936;  Raslavice;701;Bardejov;700;Prešovský
64;519740;  Regetovka;701;Bardejov;700;Prešovský
65;519758;  Rešov;701;Bardejov;700;Prešovský
66;519766;  Richvald;701;Bardejov;700;Prešovský
67;519774;  Rokytov;701;Bardejov;700;Prešovský
68;519782;  Smilno;701;Bardejov;700;Prešovský
69;519791;  Snakov;701;Bardejov;700;Prešovský
70;519804;  Stebnícka Huta;701;Bardejov;700;Prešovský
71;519812;  Stebník;701;Bardejov;700;Prešovský
72;519821;  Stuľany;701;Bardejov;700;Prešovský
73;519839;  Sveržov;701;Bardejov;700;Prešovský
74;519847;  Šarišské Čierne;701;Bardejov;700;Prešovský
75;519855;  Šašová;701;Bardejov;700;Prešovský
76;519863;  Šiba;701;Bardejov;700;Prešovský
77;519871;  Tarnov;701;Bardejov;700;Prešovský
78;519880;  Tročany;701;Bardejov;700;Prešovský
79;518964;  Vaniškovce;701;Bardejov;700;Prešovský
80;519901;  Varadka;701;Bardejov;700;Prešovský
81;519910;  Vyšná Polianka;701;Bardejov;700;Prešovský
82;519928;  Vyšná Voľa;701;Bardejov;700;Prešovský
83;519944;  Vyšný Kručov;701;Bardejov;700;Prešovský
84;519952;  Vyšný Tvarožec;701;Bardejov;700;Prešovský
85;519961;  Zborov;701;Bardejov;700;Prešovský
86;519979;  Zlaté;701;Bardejov;700;Prešovský
87;520012;  Adidovce;702;Humenné;700;Prešovský
88;520021;  Baškovce;702;Humenné;700;Prešovský
89;520055;  Brekov;702;Humenné;700;Prešovský
90;520063;  Brestov;702;Humenné;700;Prešovský
91;520110;  Černina;702;Humenné;700;Prešovský
92;520152;  Dedačov;702;Humenné;700;Prešovský
93;559644;  Gruzovce;702;Humenné;700;Prešovský
94;520195;  Hankovce;702;Humenné;700;Prešovský
95;559598;  Hažín nad Cirochou;702;Humenné;700;Prešovský
96;520225;  Hrabovec nad Laborcom;702;Humenné;700;Prešovský
97;520233;  Hrubov;702;Humenné;700;Prešovský
98;520241;  Hudcovce;702;Humenné;700;Prešovský
99;520004;  Humenné;702;Humenné;700;Prešovský
100;520268;  Chlmec;702;Humenné;700;Prešovský
101;520276;  Jabloň;702;Humenné;700;Prešovský
102;520292;  Jankovce;702;Humenné;700;Prešovský
103;559547;  Jasenov;702;Humenné;700;Prešovský
104;520331;  Kamenica nad Cirochou;702;Humenné;700;Prešovský
105;520349;  Kamienka;702;Humenné;700;Prešovský
106;520357;  Karná;702;Humenné;700;Prešovský
107;520373;  Kochanovce;702;Humenné;700;Prešovský
108;528803;  Košarovce;702;Humenné;700;Prešovský
109;520403;  Koškovce;702;Humenné;700;Prešovský
110;582140;  Lackovce;702;Humenné;700;Prešovský
111;520446;  Lieskovec;702;Humenné;700;Prešovský
112;520454;  Ľubiša;702;Humenné;700;Prešovský
113;520462;  Lukačovce;702;Humenné;700;Prešovský
114;559652;  Maškovce;702;Humenné;700;Prešovský
115;520497;  Modra nad Cirochou;702;Humenné;700;Prešovský
116;520501;  Myslina;702;Humenné;700;Prešovský
117;520527;  Nechválova Polianka;702;Humenné;700;Prešovský
118;520535;  Nižná Jablonka;702;Humenné;700;Prešovský
119;528897;  Nižná Sitnica;702;Humenné;700;Prešovský
120;520543;  Nižné Ladičkovce;702;Humenné;700;Prešovský
