p.č.;kód obce;názov obce;kód okresu;názov okresu;kód kraja;názov kraja
1;542652;  Bánovce nad Bebravou;301;Bánovce nad Bebravou;300;Trenčiansky
2;556793;  Borčany;301;Bánovce nad Bebravou;300;Trenčiansky
3;542741;  Brezolupy;301;Bánovce nad Bebravou;300;Trenčiansky
4;542776;  Cimenná;301;Bánovce nad Bebravou;300;Trenčiansky
5;542806;  Čierna Lehota;301;Bánovce nad Bebravou;300;Trenčiansky
6;542822;  Dežerice;301;Bánovce nad Bebravou;300;Trenčiansky
7;542849;  Dolné Naštice;301;Bánovce nad Bebravou;300;Trenčiansky
8;542857;  Dubnička;301;Bánovce nad Bebravou;300;Trenčiansky
9;542873;  Dvorec;301;Bánovce nad Bebravou;300;Trenčiansky
10;542890;  Haláčovce;301;Bánovce nad Bebravou;300;Trenčiansky
11;542920;  Horné Naštice;301;Bánovce nad Bebravou;300;Trenčiansky
12;556408;  Chudá Lehota;301;Bánovce nad Bebravou;300;Trenčiansky
13;543080;  Krásna Ves;301;Bánovce nad Bebravou;300;Trenčiansky
14;543136;  Kšinná;301;Bánovce nad Bebravou;300;Trenčiansky
15;556360;  Libichava;301;Bánovce nad Bebravou;300;Trenčiansky
16;505056;  Ľutov;301;Bánovce nad Bebravou;300;Trenčiansky
17;505072;  Malá Hradná;301;Bánovce nad Bebravou;300;Trenčiansky
18;505102;  Malé Hoste;301;Bánovce nad Bebravou;300;Trenčiansky
19;505153;  Miezgovce;301;Bánovce nad Bebravou;300;Trenčiansky
20;505200;  Nedašovce;301;Bánovce nad Bebravou;300;Trenčiansky
21;505277;  Omastiná;301;Bánovce nad Bebravou;300;Trenčiansky
22;556289;  Otrhánky;301;Bánovce nad Bebravou;300;Trenčiansky
23;505331;  Pečeňany;301;Bánovce nad Bebravou;300;Trenčiansky
24;505358;  Podlužany;301;Bánovce nad Bebravou;300;Trenčiansky
25;556742;  Pochabany;301;Bánovce nad Bebravou;300;Trenčiansky
26;505382;  Pravotice;301;Bánovce nad Bebravou;300;Trenčiansky
27;505412;  Prusy;301;Bánovce nad Bebravou;300;Trenčiansky
