p.č.;kód obce;názov obce;kód okresu;názov okresu;kód kraja;názov kraja
1;501441;  Báč;201;Dunajská Streda;200;Trnavský
2;501450;  Baka;201;Dunajská Streda;200;Trnavský
3;501468;  Baloň;201;Dunajská Streda;200;Trnavský
4;555517;  Bellova Ves;201;Dunajská Streda;200;Trnavský
5;501484;  Blahová;201;Dunajská Streda;200;Trnavský
6;501492;  Blatná na Ostrove;201;Dunajská Streda;200;Trnavský
7;503461;  Bodíky;201;Dunajská Streda;200;Trnavský
8;501506;  Boheľov;201;Dunajská Streda;200;Trnavský
9;501514;  Čakany;201;Dunajská Streda;200;Trnavský
10;580554;  Čenkovce;201;Dunajská Streda;200;Trnavský
11;501531;  Čiližská Radvaň;201;Dunajská Streda;200;Trnavský
12;501549;  Dobrohošť;201;Dunajská Streda;200;Trnavský
13;501557;  Dolný Bar;201;Dunajská Streda;200;Trnavský
14;501611;  Dolný Štál;201;Dunajská Streda;200;Trnavský
15;501433;  Dunajská Streda;201;Dunajská Streda;200;Trnavský
16;555541;  Dunajský Klátov;201;Dunajská Streda;200;Trnavský
17;501573;  Gabčíkovo;201;Dunajská Streda;200;Trnavský
18;501581;  Holice;201;Dunajská Streda;200;Trnavský
19;501590;  Horná Potôň;201;Dunajská Streda;200;Trnavský
20;555568;  Horné Mýto;201;Dunajská Streda;200;Trnavský
21;501603;  Horný Bar;201;Dunajská Streda;200;Trnavský
22;501620;  Hubice;201;Dunajská Streda;200;Trnavský
23;501638;  Hviezdoslavov;201;Dunajská Streda;200;Trnavský
24;501654;  Jahodná;201;Dunajská Streda;200;Trnavský
25;501662;  Janíky;201;Dunajská Streda;200;Trnavský
26;501671;  Jurová;201;Dunajská Streda;200;Trnavský
27;501689;  Kľúčovec;201;Dunajská Streda;200;Trnavský
28;501697;  Kostolné Kračany;201;Dunajská Streda;200;Trnavský
29;501701;  Kráľovičove Kračany;201;Dunajská Streda;200;Trnavský
30;501719;  Kútniky;201;Dunajská Streda;200;Trnavský
31;501727;  Kvetoslavov;201;Dunajská Streda;200;Trnavský
32;580597;  Kyselica;201;Dunajská Streda;200;Trnavský
33;501735;  Lehnice;201;Dunajská Streda;200;Trnavský
34;501743;  Lúč na Ostrove;201;Dunajská Streda;200;Trnavský
35;555606;  Macov;201;Dunajská Streda;200;Trnavský
36;555649;  Mad;201;Dunajská Streda;200;Trnavský
37;555665;  Malé Dvorníky;201;Dunajská Streda;200;Trnavský
38;501760;  Medveďov;201;Dunajská Streda;200;Trnavský
39;501778;  Mierovo;201;Dunajská Streda;200;Trnavský
40;501786;  Michal na Ostrove;201;Dunajská Streda;200;Trnavský
41;501930;  Ňárad;201;Dunajská Streda;200;Trnavský
42;501808;  Nový Život;201;Dunajská Streda;200;Trnavský
43;501816;  Ohrady;201;Dunajská Streda;200;Trnavský
44;501824;  Okoč;201;Dunajská Streda;200;Trnavský
45;501832;  Oľdza;201;Dunajská Streda;200;Trnavský
46;501859;  Orechová Potôň;201;Dunajská Streda;200;Trnavský
47;501867;  Padáň;201;Dunajská Streda;200;Trnavský
